user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access
user57,8.0,15.0,1.0,0.0,0.0,1
user58,10.0,20.0,2.0,0.0,0.0,2
user59,6.0,14.0,2.0,0.0,0.0,2
user60,9.0,15.0,1.0,0.0,0.0,1
user61,8.0,16.0,1.0,0.0,0.0,1
user62,7.0,14.0,3.0,0.0,0.0,3
user63,10.0,16.0,2.0,0.0,0.0,0
user64,9.0,15.0,1.0,0.0,0.0,1
user65,10.0,17.0,3.0,0.0,0.0,2
user66,7.0,16.0,3.0,0.0,0.0,1
user67,10.0,18.0,2.0,0.0,0.0,1
user68,10.0,20.0,3.0,0.0,0.0,1
user69,9.0,19.0,1.0,0.0,0.0,0
user70,7.0,15.0,3.0,0.0,0.0,1
user71,9.0,17.0,2.0,0.0,0.0,1
user72,9.0,19.0,2.0,0.0,0.0,0
user73,9.0,16.0,2.0,0.0,0.0,0
user74,7.0,15.0,1.0,0.0,0.0,1
user75,6.0,16.0,2.0,0.0,1.0,1
user76,7.0,14.0,2.0,0.0,0.0,1
user77,6.0,12.0,3.0,0.0,0.0,1
user78,7.0,13.0,1.0,0.0,0.0,0
user79,8.0,18.0,2.0,0.0,0.0,2
user80,7.0,16.0,2.0,0.0,0.0,2
user81,7.0,14.0,2.0,0.0,0.0,0
user82,10.0,19.0,2.0,0.0,0.0,1
user83,7.0,16.0,1.0,0.0,0.0,1
user84,9.0,15.0,3.0,0.0,0.0,3
user85,6.0,15.0,1.0,0.0,0.0,0
user86,8.0,17.0,1.0,0.0,0.0,1
user87,9.0,15.0,3.0,0.0,0.0,3
user88,6.0,15.0,3.0,0.0,0.0,2
user89,8.0,14.0,3.0,0.0,0.0,2
user90,7.0,14.0,3.0,0.0,0.0,2
user91,10.0,17.0,2.0,0.0,0.0,1
user92,9.0,17.0,2.0,0.0,0.0,1
user93,9.0,15.0,3.0,0.0,0.0,3
user94,9.0,19.0,2.0,0.0,0.0,2
user95,6.0,16.0,3.0,0.0,0.0,3
user96,6.0,13.0,1.0,0.0,0.0,1
user97,7.0,16.0,3.0,0.0,0.0,1
user98,9.0,18.0,2.0,0.0,0.0,2
user99,6.0,15.0,2.0,0.0,0.0,1
user100,6.0,14.0,2.0,0.0,0.0,2
user101,9.0,18.0,1.0,0.0,0.0,0
user102,10.0,19.0,2.0,0.0,0.0,1
user103,7.0,15.0,3.0,0.0,0.0,2
user104,7.0,17.0,2.0,0.0,0.0,1
user105,10.0,18.0,2.0,0.0,0.0,2
user106,6.0,16.0,2.0,0.0,0.0,2
user107,9.0,19.0,2.0,0.0,0.0,2
user108,7.0,17.0,2.0,0.0,0.0,1
user109,6.0,13.0,2.0,0.0,0.0,1
user110,6.0,12.0,3.0,0.0,0.0,3
user111,7.0,13.0,1.0,0.0,0.0,1
user112,10.0,20.0,1.0,0.0,0.0,1
user113,10.0,20.0,2.0,0.0,0.0,0
user114,6.0,16.0,3.0,0.0,0.0,2
user115,10.0,18.0,1.0,0.0,1.0,1
user116,8.0,16.0,1.0,0.0,0.0,1
user117,7.0,16.0,3.0,0.0,0.0,2
user118,7.0,15.0,1.0,0.0,0.0,0
user119,9.0,15.0,2.0,0.0,1.0,1
user120,6.0,16.0,3.0,0.0,0.0,1
user121,10.0,16.0,1.0,0.0,0.0,0
user122,10.0,20.0,2.0,0.0,0.0,1
user123,8.0,16.0,3.0,0.0,2.0,1
user124,6.0,13.0,1.0,0.0,0.0,1
user125,8.0,15.0,2.0,0.0,0.0,2
user126,9.0,19.0,2.0,0.0,1.0,1
user127,8.0,18.0,1.0,0.0,0.0,0
user128,6.0,16.0,3.0,0.0,0.0,2
user129,8.0,14.0,1.0,0.0,0.0,1
user130,7.0,13.0,2.0,0.0,0.0,1
user131,6.0,16.0,1.0,0.0,0.0,1
user132,7.0,15.0,3.0,0.0,0.0,2
user133,10.0,18.0,3.0,0.0,0.0,2
user134,7.0,15.0,2.0,0.0,0.0,2
user135,10.0,18.0,1.0,0.0,0.0,0
user136,6.0,15.0,2.0,0.0,0.0,2
user137,8.0,14.0,1.0,0.0,1.0,1
user138,8.0,15.0,1.0,0.0,0.0,0
user139,8.0,17.0,1.0,0.0,0.0,0
user140,10.0,19.0,2.0,0.0,0.0,2
user141,10.0,16.0,3.0,0.0,0.0,2
user142,6.0,13.0,1.0,0.0,0.0,1
user143,10.0,18.0,1.0,0.0,0.0,0
user144,10.0,17.0,2.0,0.0,0.0,2
user145,9.0,15.0,1.0,0.0,0.0,0
user146,8.0,14.0,3.0,0.0,0.0,2
user147,8.0,15.0,1.0,0.0,0.0,1
user148,6.0,16.0,2.0,0.0,0.0,1
user149,9.0,16.0,2.0,0.0,0.0,1
user150,7.0,14.0,3.0,0.0,0.0,3
user151,7.0,16.0,2.0,0.0,0.0,0
user152,6.0,14.0,3.0,0.0,0.0,2
user153,9.0,16.0,3.0,0.0,1.0,3
user154,8.0,14.0,2.0,0.0,0.0,1
user155,9.0,15.0,2.0,0.0,0.0,2
user156,9.0,16.0,3.0,0.0,0.0,2
user157,9.0,17.0,1.0,0.0,0.0,1
user158,7.0,13.0,3.0,0.0,0.0,1
user159,7.0,15.0,2.0,0.0,0.0,0
user160,8.0,14.0,2.0,0.0,0.0,2
user161,8.0,18.0,3.0,0.0,0.0,1
user162,9.0,19.0,1.0,0.0,0.0,0
user163,8.0,14.0,2.0,0.0,1.0,2
user164,8.0,18.0,3.0,0.0,0.0,2
user165,8.0,14.0,3.0,0.0,0.0,2
user166,10.0,18.0,2.0,0.0,0.0,2
user167,8.0,18.0,1.0,0.0,0.0,1
user168,10.0,19.0,1.0,0.0,0.0,1
user169,10.0,18.0,1.0,0.0,1.0,0
user170,6.0,15.0,3.0,0.0,0.0,2
user171,6.0,16.0,1.0,0.0,2.0,0
user172,7.0,16.0,2.0,0.0,0.0,2
user173,6.0,14.0,1.0,0.0,0.0,1
user174,10.0,16.0,3.0,0.0,0.0,2
user175,8.0,16.0,3.0,0.0,0.0,2
user176,9.0,18.0,1.0,0.0,0.0,0
user177,8.0,15.0,1.0,0.0,2.0,1
user178,7.0,16.0,1.0,0.0,0.0,0
user179,7.0,17.0,1.0,0.0,0.0,0
user180,8.0,18.0,2.0,0.0,0.0,1
user181,6.0,14.0,3.0,0.0,0.0,2
user182,7.0,17.0,3.0,0.0,0.0,2
user183,10.0,18.0,3.0,0.0,0.0,2
user184,9.0,18.0,3.0,0.0,0.0,2
user185,7.0,16.0,3.0,0.0,1.0,1
user186,7.0,13.0,2.0,0.0,2.0,1
user187,8.0,18.0,3.0,0.0,0.0,3
user188,8.0,15.0,3.0,0.0,0.0,2
user189,8.0,15.0,2.0,0.0,0.0,2
user190,7.0,13.0,3.0,0.0,1.0,2
user191,7.0,17.0,3.0,0.0,0.0,2
user192,6.0,15.0,1.0,0.0,0.0,0
user193,10.0,19.0,2.0,0.0,0.0,0
user194,9.0,16.0,2.0,0.0,1.0,1
user195,7.0,13.0,2.0,0.0,1.0,1
user196,6.0,15.0,1.0,0.0,1.0,1
user197,7.0,17.0,2.0,0.0,0.0,2
user198,9.0,19.0,2.0,0.0,0.0,1
user199,7.0,13.0,2.0,0.0,0.0,0
user200,9.0,18.0,1.0,0.0,1.0,1
user201,10.0,20.0,3.0,0.0,0.0,3
user202,8.0,17.0,1.0,0.0,1.0,0
user203,10.0,20.0,3.0,0.0,0.0,1
user204,9.0,19.0,3.0,0.0,0.0,3
user205,9.0,16.0,2.0,0.0,0.0,1
user206,9.0,17.0,2.0,0.0,0.0,1
user207,7.0,15.0,2.0,0.0,0.0,2
user208,10.0,17.0,3.0,0.0,0.0,2
user209,8.0,14.0,2.0,0.0,0.0,2
user210,8.0,16.0,2.0,0.0,0.0,0
user211,8.0,18.0,1.0,0.0,0.0,0
user212,6.0,13.0,2.0,0.0,0.0,2
user213,7.0,14.0,3.0,0.0,0.0,2
user214,7.0,16.0,1.0,0.0,1.0,0
user215,9.0,19.0,2.0,0.0,0.0,1
user216,9.0,15.0,1.0,0.0,0.0,1
user217,7.0,16.0,3.0,0.0,0.0,2
user218,9.0,19.0,2.0,0.0,0.0,1
user219,6.0,16.0,1.0,0.0,0.0,1
user220,9.0,15.0,3.0,0.0,0.0,3
user221,8.0,17.0,3.0,0.0,0.0,2
user222,9.0,19.0,1.0,0.0,0.0,1
user223,10.0,17.0,1.0,0.0,0.0,0
user224,9.0,17.0,2.0,0.0,0.0,2
user225,9.0,15.0,2.0,0.0,0.0,2
user226,9.0,18.0,2.0,0.0,0.0,1
user227,7.0,16.0,1.0,0.0,0.0,1
user228,7.0,17.0,2.0,0.0,1.0,2
user229,6.0,15.0,2.0,0.0,0.0,1
user230,10.0,16.0,1.0,0.0,0.0,1
user231,6.0,15.0,1.0,0.0,0.0,0
user232,7.0,16.0,3.0,0.0,0.0,3
user233,7.0,15.0,1.0,0.0,0.0,1
user234,9.0,16.0,3.0,0.0,0.0,3
user235,9.0,17.0,2.0,0.0,1.0,2
user236,9.0,18.0,3.0,0.0,0.0,1
user237,8.0,14.0,3.0,0.0,0.0,3
user238,9.0,19.0,2.0,0.0,0.0,0
user239,6.0,13.0,2.0,0.0,0.0,2
user240,6.0,12.0,2.0,0.0,0.0,2
user241,6.0,13.0,3.0,0.0,0.0,2
user242,6.0,13.0,1.0,0.0,0.0,1
user243,7.0,16.0,3.0,0.0,0.0,2
user244,6.0,13.0,1.0,0.0,0.0,1
user245,9.0,17.0,2.0,0.0,1.0,1
user246,8.0,18.0,1.0,0.0,0.0,0
user247,10.0,16.0,2.0,0.0,0.0,1
user248,7.0,13.0,1.0,0.0,0.0,1
user249,10.0,18.0,2.0,0.0,0.0,2
user250,10.0,19.0,2.0,0.0,0.0,2
user251,9.0,16.0,2.0,0.0,0.0,1
user252,6.0,13.0,3.0,0.0,0.0,3
user253,6.0,14.0,3.0,0.0,0.0,3
user254,10.0,16.0,1.0,0.0,0.0,1
user255,10.0,16.0,3.0,0.0,0.0,2
user256,8.0,17.0,1.0,0.0,0.0,1
user257,8.0,18.0,3.0,0.0,0.0,1
user258,8.0,17.0,1.0,0.0,0.0,0
user259,9.0,18.0,3.0,0.0,0.0,2
user260,8.0,17.0,1.0,0.0,0.0,1
user261,7.0,14.0,1.0,0.0,0.0,1
user262,10.0,18.0,3.0,0.0,0.0,2
user263,10.0,20.0,1.0,0.0,1.0,1
user264,9.0,18.0,3.0,0.0,0.0,2
user265,10.0,18.0,1.0,0.0,0.0,1
user266,7.0,13.0,1.0,0.0,0.0,1
user267,8.0,17.0,1.0,0.0,1.0,1
user268,7.0,16.0,1.0,0.0,0.0,0
user269,10.0,19.0,3.0,0.0,0.0,1
user270,8.0,17.0,2.0,0.0,0.0,2
user271,8.0,17.0,2.0,0.0,1.0,1
user272,7.0,15.0,1.0,0.0,0.0,1
user273,8.0,18.0,1.0,0.0,0.0,1
user274,8.0,14.0,3.0,0.0,0.0,0
user275,10.0,16.0,1.0,0.0,0.0,1
user276,7.0,16.0,1.0,0.0,0.0,1
user277,9.0,16.0,3.0,0.0,0.0,2
user278,9.0,18.0,3.0,0.0,0.0,2
user279,9.0,15.0,2.0,0.0,0.0,0
user280,6.0,13.0,3.0,0.0,0.0,1
user281,9.0,16.0,1.0,0.0,0.0,1
user282,8.0,18.0,1.0,0.0,0.0,0
user283,8.0,18.0,3.0,0.0,0.0,3
user284,10.0,19.0,3.0,0.0,0.0,3
user285,10.0,18.0,2.0,0.0,0.0,0
user286,9.0,17.0,2.0,0.0,0.0,2
user287,8.0,14.0,1.0,0.0,0.0,1
user288,7.0,13.0,3.0,0.0,0.0,3
user289,10.0,17.0,3.0,0.0,0.0,1
user290,7.0,16.0,2.0,0.0,0.0,2
user291,8.0,18.0,1.0,0.0,0.0,1
user292,10.0,18.0,2.0,0.0,0.0,2
user293,6.0,13.0,3.0,0.0,0.0,2
user294,8.0,16.0,1.0,0.0,0.0,1
user295,7.0,13.0,1.0,0.0,0.0,1
user296,10.0,18.0,1.0,0.0,0.0,0
user297,6.0,16.0,3.0,0.0,0.0,1
user298,8.0,15.0,1.0,0.0,0.0,1
user299,9.0,15.0,2.0,0.0,0.0,2
user300,10.0,19.0,1.0,0.0,1.0,0
user301,9.0,17.0,1.0,0.0,0.0,0
user302,7.0,15.0,3.0,0.0,0.0,3
user303,9.0,15.0,3.0,0.0,0.0,2
user304,9.0,15.0,3.0,0.0,0.0,3
user305,10.0,16.0,3.0,0.0,0.0,3
user306,7.0,17.0,2.0,0.0,0.0,0
user307,8.0,15.0,2.0,0.0,0.0,2
user308,6.0,15.0,1.0,0.0,0.0,1
user309,10.0,20.0,2.0,0.0,0.0,2
user310,7.0,17.0,3.0,0.0,0.0,2
user311,9.0,18.0,1.0,0.0,0.0,1
user312,8.0,18.0,1.0,0.0,0.0,1
user313,9.0,19.0,1.0,0.0,0.0,1
user314,10.0,20.0,2.0,0.0,0.0,1
user315,6.0,13.0,2.0,0.0,0.0,1
user316,7.0,13.0,3.0,0.0,0.0,2
user317,7.0,14.0,2.0,0.0,0.0,2
user318,10.0,17.0,3.0,0.0,0.0,1
user319,6.0,15.0,3.0,0.0,0.0,1
user320,10.0,18.0,3.0,0.0,0.0,2
user321,6.0,14.0,2.0,0.0,1.0,1
user322,8.0,17.0,1.0,0.0,0.0,0
user323,6.0,13.0,3.0,0.0,0.0,2
user324,8.0,18.0,2.0,0.0,0.0,2
user325,7.0,13.0,1.0,0.0,0.0,1
user326,10.0,17.0,2.0,0.0,0.0,2
user327,8.0,15.0,2.0,0.0,0.0,2
user328,6.0,13.0,3.0,0.0,0.0,3
user329,8.0,18.0,3.0,0.0,0.0,2
user330,8.0,14.0,1.0,0.0,0.0,0
user331,9.0,17.0,1.0,0.0,0.0,1
user332,9.0,19.0,1.0,0.0,0.0,1
user333,10.0,19.0,1.0,0.0,0.0,1
user334,6.0,12.0,1.0,0.0,0.0,1
user335,9.0,17.0,1.0,0.0,0.0,1
user336,10.0,16.0,2.0,0.0,0.0,0
user337,6.0,16.0,2.0,0.0,0.0,2
user338,10.0,18.0,2.0,0.0,0.0,1
user339,10.0,17.0,2.0,0.0,1.0,2
user340,9.0,18.0,1.0,0.0,1.0,0
user341,8.0,18.0,1.0,0.0,0.0,0
user342,9.0,18.0,2.0,0.0,0.0,1
user343,6.0,14.0,3.0,0.0,0.0,2
user344,9.0,17.0,3.0,0.0,0.0,1
user345,6.0,13.0,1.0,0.0,0.0,1
user346,8.0,17.0,1.0,0.0,0.0,0
user347,8.0,17.0,3.0,0.0,0.0,1
user348,10.0,19.0,1.0,0.0,0.0,0
user349,6.0,14.0,1.0,0.0,0.0,0
user350,8.0,17.0,2.0,0.0,0.0,0
user351,10.0,16.0,3.0,0.0,0.0,3
user352,10.0,19.0,3.0,0.0,0.0,2
user353,6.0,16.0,1.0,0.0,1.0,0
user354,8.0,17.0,3.0,0.0,0.0,3
user355,9.0,15.0,3.0,0.0,0.0,3
user356,7.0,17.0,2.0,0.0,0.0,1
user357,7.0,15.0,2.0,0.0,0.0,2
user358,9.0,18.0,2.0,0.0,0.0,2
user359,6.0,16.0,2.0,0.0,0.0,1
user360,7.0,14.0,2.0,0.0,0.0,2
user361,8.0,14.0,1.0,0.0,0.0,1
user362,10.0,16.0,1.0,0.0,0.0,0
user363,7.0,13.0,2.0,0.0,0.0,1
user364,9.0,16.0,2.0,0.0,0.0,2
user365,9.0,17.0,2.0,0.0,0.0,1
user366,10.0,18.0,2.0,0.0,0.0,0
user367,9.0,18.0,3.0,0.0,0.0,1
user368,9.0,18.0,1.0,0.0,0.0,1
user369,10.0,19.0,2.0,0.0,0.0,1
user370,7.0,17.0,1.0,0.0,0.0,1
user371,10.0,17.0,2.0,0.0,1.0,2
user372,6.0,15.0,2.0,0.0,0.0,1
user373,8.0,18.0,1.0,0.0,0.0,1
user374,8.0,14.0,3.0,0.0,0.0,0
user375,8.0,16.0,1.0,0.0,0.0,1
user376,10.0,19.0,2.0,0.0,0.0,2
user377,7.0,17.0,1.0,0.0,0.0,1
user378,9.0,17.0,2.0,0.0,0.0,1
user379,10.0,20.0,1.0,0.0,0.0,1
user380,9.0,17.0,3.0,0.0,0.0,2
user381,7.0,14.0,1.0,0.0,0.0,0
user382,10.0,17.0,3.0,0.0,0.0,2
user383,9.0,17.0,2.0,0.0,0.0,2
user384,9.0,18.0,1.0,0.0,0.0,1
user385,9.0,16.0,2.0,0.0,1.0,2
user386,9.0,16.0,2.0,0.0,0.0,1
user387,10.0,18.0,1.0,0.0,0.0,1
user388,6.0,15.0,3.0,0.0,0.0,1
user389,6.0,15.0,1.0,0.0,0.0,1
user390,6.0,13.0,1.0,0.0,0.0,1
user391,9.0,16.0,3.0,0.0,0.0,2
user392,6.0,14.0,2.0,0.0,1.0,2
user393,8.0,17.0,1.0,0.0,0.0,1
user394,6.0,14.0,2.0,0.0,0.0,1
user395,10.0,18.0,3.0,0.0,0.0,3
user396,9.0,19.0,2.0,0.0,0.0,2
user397,6.0,12.0,2.0,0.0,0.0,1
user398,7.0,15.0,2.0,0.0,0.0,1
user399,7.0,13.0,2.0,0.0,0.0,2
user400,9.0,15.0,1.0,0.0,0.0,1
user401,9.0,17.0,2.0,0.0,0.0,2
user402,6.0,14.0,2.0,0.0,0.0,2
user403,6.0,14.0,1.0,0.0,0.0,0
user404,8.0,15.0,2.0,0.0,0.0,1
user405,7.0,16.0,3.0,0.0,0.0,2
user406,10.0,17.0,1.0,0.0,0.0,1
user407,7.0,13.0,2.0,0.0,0.0,1
user408,10.0,19.0,2.0,0.0,1.0,1
user409,10.0,17.0,1.0,0.0,0.0,1
user410,9.0,19.0,3.0,0.0,1.0,1
user411,7.0,16.0,1.0,0.0,0.0,1
user412,8.0,16.0,1.0,0.0,0.0,1
user413,6.0,15.0,3.0,0.0,0.0,2
user414,8.0,18.0,3.0,0.0,0.0,2
user415,7.0,16.0,3.0,0.0,0.0,3
user416,8.0,16.0,3.0,0.0,1.0,2
user417,9.0,17.0,2.0,0.0,0.0,2
user418,9.0,17.0,1.0,0.0,1.0,1
user419,7.0,16.0,3.0,0.0,0.0,1
user420,6.0,15.0,3.0,0.0,0.0,1
user421,10.0,20.0,2.0,0.0,0.0,1
user422,8.0,16.0,3.0,0.0,0.0,3
user423,6.0,15.0,3.0,0.0,0.0,2
user424,8.0,18.0,2.0,0.0,0.0,1
user425,6.0,16.0,2.0,0.0,0.0,1
user426,9.0,17.0,3.0,0.0,0.0,0
user427,7.0,15.0,1.0,0.0,0.0,1
user428,7.0,14.0,2.0,0.0,0.0,1
user429,10.0,17.0,2.0,0.0,0.0,0
user430,6.0,12.0,2.0,0.0,0.0,1
user431,8.0,17.0,3.0,0.0,0.0,2
user432,6.0,14.0,1.0,0.0,0.0,0
user433,7.0,15.0,3.0,0.0,1.0,1
user434,8.0,17.0,2.0,0.0,0.0,1
user435,7.0,14.0,3.0,0.0,0.0,2
user436,10.0,18.0,1.0,0.0,0.0,1
user437,10.0,18.0,2.0,0.0,0.0,2
user438,7.0,16.0,1.0,0.0,0.0,1
user439,8.0,16.0,2.0,0.0,0.0,2
user440,6.0,12.0,2.0,0.0,0.0,1
user441,7.0,14.0,1.0,0.0,0.0,1
user442,9.0,19.0,3.0,0.0,0.0,2
user443,8.0,17.0,3.0,0.0,0.0,0
user444,6.0,16.0,3.0,0.0,1.0,0
user445,6.0,14.0,1.0,0.0,0.0,1
user446,8.0,17.0,3.0,0.0,0.0,3
user447,8.0,15.0,3.0,0.0,0.0,3
user448,9.0,19.0,3.0,0.0,0.0,2
user449,10.0,20.0,3.0,0.0,0.0,3
user450,7.0,13.0,1.0,0.0,0.0,1
user451,9.0,17.0,2.0,0.0,0.0,2
user452,9.0,16.0,3.0,0.0,0.0,2
user453,6.0,14.0,2.0,0.0,0.0,2
user454,9.0,15.0,2.0,0.0,0.0,2
user455,7.0,17.0,1.0,0.0,0.0,1
user456,7.0,16.0,2.0,0.0,0.0,1
user457,8.0,18.0,2.0,0.0,0.0,1
user458,9.0,16.0,2.0,0.0,1.0,2
user459,9.0,15.0,1.0,0.0,0.0,1
user460,9.0,18.0,2.0,0.0,0.0,2
user461,8.0,16.0,1.0,0.0,0.0,1
user462,7.0,16.0,1.0,0.0,0.0,0
user463,7.0,15.0,1.0,0.0,0.0,0
user464,6.0,14.0,3.0,0.0,0.0,3
user465,10.0,18.0,3.0,0.0,0.0,2
user466,6.0,14.0,3.0,0.0,0.0,1
user467,7.0,16.0,2.0,0.0,0.0,1
user468,6.0,13.0,2.0,0.0,0.0,2
user469,10.0,16.0,3.0,0.0,0.0,2
user470,8.0,15.0,1.0,0.0,0.0,1
user471,10.0,16.0,1.0,0.0,0.0,0
user472,10.0,20.0,2.0,0.0,1.0,1
user473,7.0,14.0,2.0,0.0,0.0,1
user474,8.0,15.0,1.0,0.0,0.0,1
user475,10.0,18.0,2.0,0.0,1.0,1
user476,7.0,17.0,1.0,0.0,0.0,1
user477,8.0,15.0,2.0,0.0,0.0,1
user478,6.0,12.0,3.0,0.0,1.0,3
user479,7.0,15.0,3.0,0.0,0.0,2
user480,7.0,15.0,2.0,0.0,0.0,1
user481,6.0,14.0,1.0,0.0,0.0,0
user482,6.0,15.0,2.0,0.0,0.0,1
user483,10.0,16.0,2.0,0.0,0.0,1
user484,9.0,17.0,2.0,0.0,0.0,2
user485,10.0,16.0,3.0,0.0,1.0,2
user486,9.0,16.0,3.0,0.0,0.0,2
user487,10.0,20.0,2.0,0.0,0.0,0
user488,8.0,14.0,1.0,0.0,1.0,1
user489,6.0,15.0,1.0,0.0,0.0,0
user490,9.0,15.0,1.0,0.0,0.0,1
user491,9.0,18.0,2.0,0.0,0.0,1
user492,6.0,12.0,2.0,0.0,0.0,2
user493,8.0,15.0,1.0,0.0,0.0,1
user494,6.0,14.0,3.0,0.0,0.0,1
user495,10.0,20.0,1.0,0.0,1.0,0
user496,10.0,18.0,3.0,0.0,0.0,3
user497,9.0,19.0,3.0,0.0,1.0,1
user498,8.0,18.0,3.0,0.0,0.0,3
user499,10.0,16.0,2.0,0.0,0.0,2
user500,6.0,16.0,2.0,0.0,1.0,2
user501,7.0,16.0,2.0,0.0,0.0,1
user502,7.0,15.0,1.0,0.0,0.0,1
user503,9.0,18.0,3.0,0.0,0.0,2
user504,6.0,15.0,3.0,0.0,0.0,2
user505,8.0,16.0,1.0,0.0,0.0,0
user506,8.0,17.0,3.0,0.0,0.0,0
user507,6.0,12.0,1.0,0.0,0.0,1
user508,6.0,12.0,3.0,0.0,0.0,2
user509,8.0,15.0,1.0,0.0,0.0,1
user510,10.0,20.0,1.0,0.0,0.0,1
user511,10.0,18.0,3.0,0.0,0.0,3
user512,6.0,14.0,3.0,0.0,0.0,2
user513,9.0,15.0,3.0,0.0,0.0,1
user514,8.0,16.0,1.0,0.0,0.0,1
user515,8.0,18.0,1.0,0.0,0.0,0
user516,10.0,17.0,3.0,0.0,0.0,3
user517,9.0,15.0,1.0,0.0,0.0,1
user518,8.0,18.0,1.0,0.0,0.0,1
user519,8.0,16.0,3.0,0.0,0.0,3
user520,10.0,19.0,2.0,0.0,0.0,0
user521,10.0,20.0,1.0,0.0,0.0,1
user522,10.0,20.0,3.0,0.0,0.0,1
user523,6.0,14.0,1.0,0.0,0.0,1
user524,6.0,14.0,2.0,0.0,0.0,1
user525,8.0,16.0,3.0,0.0,0.0,1
user526,8.0,15.0,1.0,0.0,0.0,1
user527,7.0,16.0,1.0,0.0,0.0,0
user528,6.0,12.0,2.0,0.0,0.0,2
user529,6.0,16.0,2.0,0.0,0.0,2
user530,7.0,16.0,3.0,0.0,1.0,2
user531,9.0,16.0,1.0,0.0,0.0,1
user532,8.0,16.0,3.0,0.0,0.0,2
user533,10.0,16.0,3.0,0.0,1.0,2
user534,6.0,13.0,1.0,0.0,0.0,1
user535,10.0,16.0,3.0,0.0,0.0,2
user536,8.0,17.0,3.0,0.0,0.0,2
user537,9.0,18.0,1.0,0.0,0.0,1
user538,9.0,16.0,3.0,0.0,0.0,3
user539,10.0,18.0,3.0,0.0,0.0,1
user540,9.0,17.0,1.0,0.0,0.0,1
user541,10.0,20.0,1.0,0.0,0.0,0
user542,8.0,15.0,3.0,0.0,0.0,3
user543,9.0,15.0,2.0,0.0,0.0,1
user544,6.0,14.0,1.0,0.0,0.0,0
user545,7.0,14.0,1.0,0.0,0.0,1
user546,8.0,16.0,3.0,0.0,0.0,3
user547,6.0,15.0,3.0,0.0,0.0,1
user548,9.0,16.0,2.0,0.0,0.0,2
user549,9.0,16.0,3.0,0.0,0.0,3
user550,10.0,18.0,2.0,0.0,1.0,1
user551,6.0,12.0,1.0,0.0,0.0,1
user552,9.0,18.0,1.0,0.0,0.0,0
user553,6.0,14.0,3.0,0.0,1.0,2
user554,10.0,20.0,3.0,0.0,0.0,1
user555,9.0,18.0,2.0,0.0,1.0,1
user556,8.0,17.0,3.0,0.0,0.0,1
